departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out,source,target
ACX,XIY,2016,ACXXIY2016,2,25.082371,104.96221200000001,34.438157000000004,108.76481899999999,0.130841121,1.088785047,30.0,0.000692557,30,0.0006906000000000001,"[25.082371, 104.96221200000001]","[34.438157000000004, 108.76481899999999]"
ACX,XIY,2017,ACXXIY2017,2,25.082371,104.96221200000001,34.438157000000004,108.76481899999999,0.15044247800000002,1.185840708,276.0,0.000529657,275,0.000530698,"[25.082371, 104.96221200000001]","[34.438157000000004, 108.76481899999999]"
ACX,XIY,2018,ACXXIY2018,2,25.082371,104.96221200000001,34.438157000000004,108.76481899999999,0.07816092,0.7701149429999999,332.0,0.000233616,331,0.00017115700000000001,"[25.082371, 104.96221200000001]","[34.438157000000004, 108.76481899999999]"
ACX,ZUH,2017,ACXZUH2017,2,25.082371,104.96221200000001,22.00666,113.376297,0.15044247800000002,0.491150442,36.0,0.000125222,37,0.000126844,"[25.082371, 104.96221200000001]","[22.00666, 113.376297]"
ACX,ZYI,2018,ACXZYI2018,2,25.082371,104.96221200000001,27.807451,107.250743,0.07816092,0.172413793,44.0,3.76e-05,44,1.99e-05,"[25.082371, 104.96221200000001]","[27.807451, 107.250743]"
AEB,CAN,2015,AEBCAN2015,2,23.718051000000003,106.96485200000001,23.392429,113.298698,0.039408867,1.064039409,140.0,0.001458279,140,0.001480078,"[23.718051000000003, 106.96485200000001]","[23.392429, 113.298698]"
AEB,CAN,2016,AEBCAN2016,2,23.718051000000003,106.96485200000001,23.392429,113.298698,0.037383177999999996,1.060747664,154.0,0.0013904310000000001,153,0.001398675,"[23.718051000000003, 106.96485200000001]","[23.392429, 113.298698]"
AEB,CAN,2017,AEBCAN2017,2,23.718051000000003,106.96485200000001,23.392429,113.298698,0.03539823,0.960176991,148.0,0.0011960710000000002,148,0.001178429,"[23.718051000000003, 106.96485200000001]","[23.392429, 113.298698]"
AEB,CAN,2018,AEBCAN2018,2,23.718051000000003,106.96485200000001,23.392429,113.298698,0.032183908,0.675862069,154.0,0.000504118,151,0.000184768,"[23.718051000000003, 106.96485200000001]","[23.392429, 113.298698]"
AEB,CKG,2015,AEBCKG2015,2,23.718051000000003,106.96485200000001,29.719209999999997,106.641602,0.039408867,0.985221675,329.0,0.00144277,327,0.001420646,"[23.718051000000003, 106.96485200000001]","[29.719209999999997, 106.641602]"
AEB,CKG,2016,AEBCKG2016,2,23.718051000000003,106.96485200000001,29.719209999999997,106.641602,0.037383177999999996,0.9953271029999999,352.0,0.001413675,352,0.001421959,"[23.718051000000003, 106.96485200000001]","[29.719209999999997, 106.641602]"
AEB,CKG,2017,AEBCKG2017,2,23.718051000000003,106.96485200000001,29.719209999999997,106.641602,0.03539823,1.039823009,340.0,0.00141511,330,0.0014053289999999999,"[23.718051000000003, 106.96485200000001]","[29.719209999999997, 106.641602]"
AEB,CKG,2018,AEBCKG2018,2,23.718051000000003,106.96485200000001,29.719209999999997,106.641602,0.032183908,0.6965517240000001,389.0,0.000446086,387,0.000297161,"[23.718051000000003, 106.96485200000001]","[29.719209999999997, 106.641602]"
AEB,CSX,2018,AEBCSX2018,2,23.718051000000003,106.96485200000001,28.196666999999998,113.22083300000001,0.032183908,0.5103448279999999,119.0,0.000291183,119,0.000159285,"[23.718051000000003, 106.96485200000001]","[28.196666999999998, 113.22083300000001]"
AEB,HAK,2018,AEBHAK2018,2,23.718051000000003,106.96485200000001,19.934851000000002,110.4589,0.032183908,0.526436782,119.0,0.000265934,119,0.000154423,"[23.718051000000003, 106.96485200000001]","[19.934851000000002, 110.4589]"
