departure,arrival,flights,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,airline_centrality,year
PEK,YNT,3333,40.084152,116.592735,37.657223,120.987221,1.295566502,0.369458128,0.000409705,2015
CTU,NKG,3327,30.57852,103.946999,31.742041,118.862,1.004926108,0.566502463,0.000369474,2015
NKG,CTU,3325,31.742041,118.862,30.57852,103.946999,0.566502463,1.004926108,0.000386793,2015
PEK,NNG,3325,40.084152,116.592735,22.608259,108.172401,1.295566502,0.448275862,0.000481219,2015
NNG,PEK,3315,22.608259,108.172401,40.084152,116.592735,0.448275862,1.295566502,0.000469182,2015
SZX,KWE,3289,22.63925,113.8106,26.538521,106.800697,0.980295567,0.566502463,0.000212631,2015
KWE,SZX,3287,26.538521,106.800697,22.63925,113.8106,0.566502463,0.980295567,0.000213781,2015
CSX,HAK,3283,28.196667,113.220833,19.934851,110.4589,0.743842365,0.753694581,0.00024221,2015
PVG,KMG,3283,31.14337,121.805199,25.101944,102.929169,1.004926108,0.926108374,0.001573379,2015
CAN,CGO,3280,23.392429,113.298698,34.519669,113.840797,1.064039409,0.625615764,0.000238722,2015
HAK,CSX,3280,19.934851,110.4589,28.196667,113.220833,0.753694581,0.743842365,0.000226131,2015
CGO,CAN,3279,34.519669,113.840797,23.392429,113.298698,0.625615764,1.064039409,0.000219607,2015
KMG,PVG,3236,25.101944,102.929169,31.14337,121.805199,0.926108374,1.004926108,0.001398381,2015
LHW,URC,3224,36.51524,103.620697,43.907101,87.474243,0.463054187,0.472906404,0.00067347,2015
URC,LHW,3195,43.907101,87.474243,36.51524,103.620697,0.472906404,0.463054187,0.000719032,2015
XIY,NKG,3191,34.438157,108.764819,31.742041,118.862,1.024630542,0.566502463,0.000306,2015
NKG,XIY,3189,31.742041,118.862,34.438157,108.764819,0.566502463,1.024630542,0.000343043,2015
INC,PEK,3186,38.322769,106.393303,40.084152,116.592735,0.433497537,1.295566502,0.000621165,2015
PEK,INC,3181,40.084152,116.592735,38.322769,106.393303,1.295566502,0.433497537,0.000581916,2015
HET,PEK,3178,40.853503,111.826381,40.084152,116.592735,0.487684729,1.295566502,0.00049967,2015
TSN,CAN,3150,39.124352,117.3461,23.392429,113.298698,0.733990148,1.064039409,0.000310847,2015
CAN,TSN,3141,23.392429,113.298698,39.124352,117.3461,1.064039409,0.733990148,0.000327493,2015
PEK,HET,3139,40.084152,116.592735,40.853503,111.826381,1.295566502,0.487684729,0.000492989,2015
SHA,URC,3136,31.196099,121.339766,43.907101,87.474243,0.748768473,0.472906404,0.001433378,2015
KWE,HGH,3124,26.538521,106.800697,30.2295,120.434402,0.566502463,0.866995074,0.00021775,2015
URC,SHA,3120,43.907101,87.474243,31.196099,121.339766,0.472906404,0.748768473,0.001543223,2015
HGH,KWE,3117,30.2295,120.434402,26.538521,106.800697,0.866995074,0.566502463,0.000218363,2015
DLC,NKG,3112,38.96566,121.538597,31.742041,118.862,0.63546798,0.566502463,0.000249315,2015
NKG,DLC,3110,31.742041,118.862,38.96566,121.538597,0.566502463,0.63546798,0.000249123,2015
KWE,CTU,3100,26.538521,106.800697,30.57852,103.946999,0.566502463,1.004926108,0.000362634,2015
CTU,KWE,3099,30.57852,103.946999,26.538521,106.800697,1.004926108,0.566502463,0.00035496,2015
PVG,HAK,3063,31.14337,121.805199,19.934851,110.4589,1.004926108,0.753694581,0.000670858,2015
CGO,CKG,3058,34.519669,113.840797,29.71921,106.641602,0.625615764,0.985221675,0.000282145,2015
CKG,CGO,3030,29.71921,106.641602,34.519669,113.840797,0.985221675,0.625615764,0.000281962,2015
WUH,SZX,3016,30.783751,114.208099,22.63925,113.8106,0.566502463,0.980295567,0.00024736,2015
HAK,PVG,3014,19.934851,110.4589,31.14337,121.805199,0.753694581,1.004926108,0.000574951,2015
SZX,WUH,3014,22.63925,113.8106,30.783751,114.208099,0.980295567,0.566502463,0.000257024,2015
LXA,CKG,2999,29.29777,90.911942,29.71921,106.641602,0.261083744,0.985221675,0.000829647,2015
CKG,URC,2992,29.71921,106.641602,43.907101,87.474243,0.985221675,0.472906404,0.002654959,2015
CKG,LXA,2991,29.71921,106.641602,29.29777,90.911942,0.985221675,0.261083744,0.00084384,2015
URC,CKG,2985,43.907101,87.474243,29.71921,106.641602,0.472906404,0.985221675,0.002961405,2015
KWL,PVG,2983,25.2181,110.039101,31.14337,121.805199,0.448275862,1.004926108,0.000339383,2015
HTN,URC,2979,37.038007,79.868983,43.907101,87.474243,0.019704433,0.472906404,0.00406309,2015
PVG,KWL,2977,31.14337,121.805199,25.2181,110.039101,1.004926108,0.448275862,0.000361125,2015
URC,HTN,2974,43.907101,87.474243,37.038007,79.868983,0.472906404,0.019704433,0.004366679,2015
YNT,SHA,2972,37.657223,120.987221,31.196099,121.339766,0.369458128,0.748768473,0.000182457,2015
SYX,HGH,2954,18.302891,109.412201,30.2295,120.434402,0.532019704,0.866995074,0.000176312,2015
HGH,SYX,2949,30.2295,120.434402,18.302891,109.412201,0.866995074,0.532019704,0.000176239,2015
KHN,PEK,2936,28.865,115.900002,40.084152,116.592735,0.408866995,1.295566502,0.000347427,2015
PEK,KHN,2935,40.084152,116.592735,28.865,115.900002,1.295566502,0.408866995,0.000349577,2015
LJG,JHG,2930,26.683332,100.25,21.972467,100.76475,0.305418719,0.113300493,0.00014695,2015
KHN,SZX,2921,28.865,115.900002,22.63925,113.8106,0.408866995,0.980295567,0.000200661,2015
SZX,KHN,2912,22.63925,113.8106,28.865,115.900002,0.980295567,0.408866995,0.000196816,2015
XMN,CSX,2911,24.544029,118.127701,28.196667,113.220833,0.719211823,0.743842365,0.000173448,2015
CTU,WUH,2910,30.57852,103.946999,30.783751,114.208099,1.004926108,0.566502463,0.000408892,2015
CSX,XMN,2906,28.196667,113.220833,24.544029,118.127701,0.743842365,0.719211823,0.000171819,2015
SHA,YNT,2895,31.196099,121.339766,37.657223,120.987221,0.748768473,0.369458128,0.000187377,2015
WUH,CTU,2879,30.783751,114.208099,30.57852,103.946999,0.566502463,1.004926108,0.000394366,2015
CAN,HFE,2876,23.392429,113.298698,31.986345,116.970474,1.064039409,0.384236453,0.000253169,2015
DLU,KMG,2874,25.647097,100.320711,25.101944,102.929169,0.128078818,0.926108374,0.000464447,2015
CSX,NKG,2872,28.196667,113.220833,31.742041,118.862,0.743842365,0.566502463,0.000132313,2015
XMN,HGH,2867,24.544029,118.127701,30.2295,120.434402,0.719211823,0.866995074,0.000239197,2015
HFE,CAN,2865,31.986345,116.970474,23.392429,113.298698,0.384236453,1.064039409,0.000245573,2015
NKG,CSX,2865,31.742041,118.862,28.196667,113.220833,0.566502463,0.743842365,0.000137217,2015
WUH,SYX,2859,30.783751,114.208099,18.302891,109.412201,0.566502463,0.532019704,0.000119608,2015
HGH,XMN,2850,30.2295,120.434402,24.544029,118.127701,0.866995074,0.719211823,0.000239131,2015
SYX,WUH,2838,18.302891,109.412201,30.783751,114.208099,0.532019704,0.566502463,0.000126243,2015
