departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out
AKU,HTN,2016,AKUHTN2016,2,41.263252,80.293103,37.038007,79.868983,0.046728972,0.028037383,92,0.000516281,93,0.00051426
AKU,HTN,2017,AKUHTN2017,2,41.263252,80.293103,37.038007,79.868983,0.061946903,0.03539823,128,0.000496941,128,0.000479935
AKU,HTN,2018,AKUHTN2018,2,41.263252,80.293103,37.038007,79.868983,0.045977011,0.036781609,257,0.0000247,257,0.0000246
AKU,KHG,2017,AKUKHG2017,2,41.263252,80.293103,39.541251,76.024599,0.061946903,0.10619469,77,0.0000816,77,0.0000816
AKU,KHG,2018,AKUKHG2018,2,41.263252,80.293103,39.541251,76.024599,0.045977011,0.064367816,258,0.0000196,255,0.0000201
AKU,KRL,2018,AKUKRL2018,2,41.263252,80.293103,41.618911,86.138043,0.045977011,0.101149425,159,0.0000602,159,0.0000314
AKU,LHW,2018,AKULHW2018,2,41.263252,80.293103,36.51524,103.620697,0.045977011,0.436781609,60,0.000233309,60,0.00013439
AKU,URC,2015,AKUURC2015,2,41.263252,80.293103,43.907101,87.474243,0.039408867,0.472906404,4548,0.000686448,4532,0.000725325
AKU,URC,2016,AKUURC2016,2,41.263252,80.293103,43.907101,87.474243,0.046728972,0.448598131,4106,0.000619886,4110,0.000625553
AKU,URC,2017,AKUURC2017,2,41.263252,80.293103,43.907101,87.474243,0.061946903,0.486725664,4056,0.00049175,4060,0.000477341
AKU,URC,2018,AKUURC2018,2,41.263252,80.293103,43.907101,87.474243,0.045977011,0.337931034,3454,0.000279562,3457,0.000100488
AKU,XIY,2015,AKUXIY2015,2,41.263252,80.293103,34.438157,108.764819,0.039408867,1.024630542,195,0.001559123,195,0.001548003
AKU,XIY,2016,AKUXIY2016,2,41.263252,80.293103,34.438157,108.764819,0.046728972,1.088785047,300,0.001698233,299,0.001672669
AKU,XIY,2017,AKUXIY2017,2,41.263252,80.293103,34.438157,108.764819,0.061946903,1.185840708,342,0.001331,342,0.001342394
AKU,XIY,2018,AKUXIY2018,2,41.263252,80.293103,34.438157,108.764819,0.045977011,0.770114943,356,0.000481325,356,0.000295798
AKU,YIN,2018,AKUYIN2018,2,41.263252,80.293103,43.957321,81.33329,0.045977011,0.073563218,156,0.0000371,152,0.0000213
AOG,CAN,2015,AOGCAN2015,2,41.106456,122.860605,23.392429,113.298698,0.02955665,1.064039409,190,0.00147294,190,0.001505029
AOG,CAN,2016,AOGCAN2016,2,41.106456,122.860605,23.392429,113.298698,0.037383178,1.060747664,193,0.001050172,194,0.001052002
AOG,CAN,2017,AOGCAN2017,2,41.106456,122.860605,23.392429,113.298698,0.048672566,0.960176991,205,0.000786742,205,0.000703546
AOG,CAN,2018,AOGCAN2018,2,41.106456,122.860605,23.392429,113.298698,0.022988506,0.675862069,204,0.000420546,204,0.000200727
AOG,CTU,2016,AOGCTU2016,2,41.106456,122.860605,30.57852,103.946999,0.037383178,0.990654206,32,0.001128778,32,0.001119016
AOG,CTU,2017,AOGCTU2017,2,41.106456,122.860605,30.57852,103.946999,0.048672566,1.079646018,142,0.001105922,142,0.00102828
AOG,CTU,2018,AOGCTU2018,2,41.106456,122.860605,30.57852,103.946999,0.022988506,0.72183908,152,0.000457769,152,0.000321202
AOG,FOC,2017,AOGFOC2017,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0
AOG,NKG,2017,AOGNKG2017,2,41.106456,122.860605,31.742041,118.862,0.048672566,0.601769912,63,0.000491421,63,0.000451362
AOG,NKG,2018,AOGNKG2018,2,41.106456,122.860605,31.742041,118.862,0.022988506,0.43908046,204,0.00021386,204,0.000150996
AOG,PEK,2015,AOGPEK2015,2,41.106456,122.860605,40.084152,116.592735,0.02955665,1.295566502,348,0.001974007,347,0.001939319
AOG,PEK,2016,AOGPEK2016,2,41.106456,122.860605,40.084152,116.592735,0.037383178,1.242990654,348,0.001399446,348,0.001407703
AOG,PEK,2017,AOGPEK2017,2,41.106456,122.860605,40.084152,116.592735,0.048672566,1.154867257,331,0.001127445,332,0.001047729
AOG,PEK,2018,AOGPEK2018,2,41.106456,122.860605,40.084152,116.592735,0.022988506,0.887356322,352,0.000672155,352,0.000310264
AOG,PVG,2015,AOGPVG2015,2,41.106456,122.860605,31.14337,121.805199,0.02955665,1.004926108,357,0.001455013,359,0.001457613
AOG,PVG,2016,AOGPVG2016,2,41.106456,122.860605,31.14337,121.805199,0.037383178,0.985981308,361,0.001072767,362,0.001072442
AOG,PVG,2017,AOGPVG2017,2,41.106456,122.860605,31.14337,121.805199,0.048672566,0.960176991,362,0.000893756,362,0.00079807
AOG,PVG,2018,AOGPVG2018,2,41.106456,122.860605,31.14337,121.805199,0.022988506,0.772413793,361,0.000529247,361,0.00023478
AQG,CAN,2015,AQGCAN2015,2,30.580776,117.055412,23.392429,113.298698,0.078817734,1.064039409,178,0.000699111,177,0.000736448
AQG,CAN,2016,AQGCAN2016,2,30.580776,117.055412,23.392429,113.298698,0.074766355,1.060747664,204,0.000640385,204,0.000647576
AQG,CAN,2017,AQGCAN2017,2,30.580776,117.055412,23.392429,113.298698,0.097345133,0.960176991,110,0.000402847,110,0.000394502
AQG,CAN,2018,AQGCAN2018,2,30.580776,117.055412,23.392429,113.298698,0.059770115,0.675862069,154,0.000277759,154,0.0000951
AQG,CTU,2017,AQGCTU2017,2,30.580776,117.055412,30.57852,103.946999,0.097345133,1.079646018,214,0.000580449,216,0.000591754
AQG,FOC,2018,AQGFOC2018,2,30.580776,117.055412,25.935061,119.6632,0.059770115,0.374712644,77,0.0000742,77,0.0000403
AQG,HAK,2015,AQGHAK2015,2,30.580776,117.055412,19.934851,110.4589,0.078817734,0.753694581,316,0.000452618,315,0.000408756
AQG,HAK,2016,AQGHAK2016,2,30.580776,117.055412,19.934851,110.4589,0.074766355,0.841121495,364,0.000430657,361,0.000429637
AQG,HAK,2017,AQGHAK2017,2,30.580776,117.055412,19.934851,110.4589,0.097345133,0.805309735,349,0.000315418,346,0.0003179
AQG,HAK,2018,AQGHAK2018,2,30.580776,117.055412,19.934851,110.4589,0.059770115,0.526436782,358,0.00013253,359,0.0000809
